Text,Sentiment,Source,Date/Time,User ID,Location,Confidence Score,processed_text
I love this product!,Positive,Twitter,2023-06-15 09:23:14,@user123,New York,0.85,love product
The service was terrible.,Negative,Yelp Reviews,2023-06-15 11:45:32,user456,Los Angeles,0.65,service terrible
This movie is amazing!,Positive,IMDb,2023-06-15 14:10:22,moviefan789,London,0.92,movie amaze
I'm so disappointed with their customer support.,Negative,Online Forum,2023-06-15 17:35:11,forumuser1,Toronto,0.78,disappoint customer support
Just had the best meal of my life!,Positive,TripAdvisor,2023-06-16 08:50:59,foodie22,Paris,0.88,best meal life
The quality of this product is subpar.,Negative,Amazon Reviews,2023-06-16 10:15:27,shopper123,San Francisco,0.72,quality product subpar
I can't stop listening to this song. It's incredible!,Positive,Spotify,2023-06-16 13:40:18,musiclover456,Berlin,0.91,stop listen song incredible
Their website is so user-friendly. Love it!,Positive,Website Testimonial,2023-06-16 16:05:36,testimonialuser1,Sydney,0.87,website userfriendly love
I loved the movie! It was fantastic!,Positive,IMDb,2023-07-02 09:12:34,user123,New York,0.92,love movie fantastic
The customer service was terrible.,Negative,Yelp Reviews,2023-07-02 10:45:21,user456,Los Angeles,0.65,customer service terrible
This book made me feel inspired. Highly recommended!,Positive,Goodreads,2023-07-02 12:34:56,bookworm789,London,0.88,book make feel inspire highly recommend
I'm extremely disappointed with their product quality.,Negative,Online Store,2023-07-02 15:21:43,shopper789,San Francisco,0.72,extremely disappoint product quality
Just had the most amazing vacation! I can't wait to go back.,Positive,TripAdvisor,2023-07-02 18:01:23,travelenthusiast1,Sydney,0.93,amaze vacation wait back
The food at this restaurant was awful. Never going back again!,Negative,Zomato,2023-07-02 20:45:37,foodlover123,Mumbai,0.55,food restaurant awful never go back
I can't stop listening to this song. It's my new favorite!,Positive,Spotify,2023-07-03 09:17:52,musiclover789,Berlin,0.91,stop listen song new favorite
Their website is so confusing and poorly designed.,Negative,Website Review,2023-07-03 11:59:18,user789,Toronto,0.68,website confuse poorly design
I had an incredible experience at the theme park. So much fun!,Positive,Trip Report,2023-07-03 14:40:05,thrillseeker1,Orlando,0.89,incredible experience theme park much fun
The product arrived damaged. Very disappointed.,Negative,Online Store,2023-07-03 17:25:09,buyer123,Chicago,0.76,product arrive damage disappoint
The concert was absolutely breathtaking. Best performance ever!,Positive,Event Review,2023-07-03 20:15:33,musicfan456,Paris,0.95,concert absolutely breathtaking best performance ever
I had a terrible experience with their customer support.,Negative,Online Chat,2023-07-04 08:32:41,user1234,Sydney,0.61,terrible experience customer support
This movie is a masterpiece! I was blown away.,Positive,IMDb,2023-07-04 14:05:27,cinephile789,Los Angeles,0.93,movie masterpiece blow away
The customer service at this store is top-notch.,Positive,Yelp Reviews,2023-07-04 16:35:19,shopper456,New York,0.82,customer service store topnotch
I'm disappointed with the ending of this book. It fell flat.,Negative,Goodreads,2023-07-04 19:18:53,booklover123,London,0.68,disappoint end book fell flat
The product I received was damaged. Unacceptable.,Negative,Online Store,2023-07-04 21:52:41,buyer789,San Francisco,0.75,product receive damage unacceptable
Just had the worst flight experience. Delayed and rude staff.,Negative,Airline Review,2023-07-05 09:10:15,traveler456,Sydney,0.57,bad flight experience delay rude staff
The hotel stay was absolutely amazing! Luxury at its finest.,Positive,TripAdvisor,2023-07-05 12:30:08,traveladdict1,Paris,0.95,hotel stay absolutely amaze luxury fine
The food at this restaurant was outstanding. Highly recommended!,Positive,Zomato,2023-07-05 15:45:32,foodie789,Mumbai,0.89,food restaurant outstanding highly recommend
This playlist is my go-to for workouts. Energizing and motivating!,Positive,Spotify,2023-07-05 18:20:17,gymrat123,Berlin,0.91,playlist goto workout energize motivate
I had a frustrating experience navigating through their website.,Negative,Website Review,2023-07-05 21:05:44,user987,Toronto,0.67,frustrate experience navigate website
The roller coaster ride was thrilling! Heart-pounding excitement!,Positive,Theme Park Review,2023-07-06 08:48:39,thrillseeker2,Orlando,0.92,roller coaster ride thrill heartpounding excitement
The product I ordered never arrived. Terrible service.,Negative,Online Store,2023-07-06 11:25:56,customer123,Chicago,0.64,product order never arrive terrible service
I can't get enough of this band. Their music is incredible!,Positive,Music Review,2023-07-06 14:15:23,musiclover987,London,0.94,get enough band music incredible
I had a great chat with their customer support. Helpful and friendly.,Positive,Online Chat,2023-07-06 17:02:11,user7890,Sydney,0.85,great chat customer support helpful friendly
This restaurant has the most delicious food. I can't wait to go back!,Positive,TripAdvisor,2023-07-09 09:12:54,foodie123,Paris,0.94,restaurant delicious food wait back
The product I purchased broke within a week. Poor quality.,Negative,Online Store,2023-07-09 11:45:32,shopper246,Los Angeles,0.61,product purchase break within week poor quality
This book is thought-provoking and beautifully written. Highly recommended!,Positive,Goodreads,2023-07-09 14:23:18,bookworm567,London,0.89,book thoughtprovoking beautifully write highly recommend
The customer service at this store is exceptional. They went above and beyond.,Positive,Retail Store,2023-07-09 17:05:46,shopper7890,New York,0.87,customer service store exceptional go beyond
I had a terrible experience with their technical support. No resolution.,Negative,Online Helpdesk,2023-07-09 19:40:27,user9876,San Francisco,0.63,terrible experience technical support resolution
The live concert was electrifying! The band's energy was contagious.,Positive,Event Review,2023-07-10 08:50:13,musiclover7890,Sydney,0.92,live concert electrify band energy contagious
I'm disappointed with the food at this restaurant. It was tasteless.,Negative,Zomato,2023-07-10 11:32:59,foodcritic123,Mumbai,0.68,disappoint food restaurant tasteless
This song always puts me in a good mood. It's my go-to feel-good track!,Positive,Spotify,2023-07-10 14:20:05,playlistlover456,Berlin,0.93,song always put good mood goto feelgood track
The website is slow and unresponsive. Difficult to navigate.,Negative,Website Review,2023-07-10 17:15:22,user24680,Toronto,0.65,website slow unresponsive difficult navigate
The roller coaster ride was exhilarating! Pure adrenaline rush!,Positive,Theme Park Review,2023-07-10 20:02:37,thrillseeker789,Orlando,0.95,roller coaster ride exhilarate pure adrenaline rush
The product I ordered arrived damaged. Very disappointed with the packaging.,Negative,Online Store,2023-07-11 08:40:51,buyer7890,Chicago,0.67,product order arrive damage disappoint package
I'm captivated by this band's unique sound. They're a breath of fresh air!,Positive,Music Review,2023-07-11 11:22:17,musicfan567,London,0.94,captivate band unique sound breath fresh air
The customer support was quick to respond and resolved my issue. Impressed!,Positive,Online Chat,2023-07-11 14:18:42,user123456,Sydney,0.85,customer support quick respond resolve issue impress
This restaurant has the best food. I highly recommend it!,Positive,Yelp Reviews,2023-07-11 17:30:15,foodie246,Los Angeles,0.90,restaurant best food highly recommend
The plot of this movie is confusing and hard to follow.,Negative,IMDb,2023-07-11 20:15:42,moviegoer789,London,0.62,plot movie confuse hard follow
I'm addicted to this game. It's so much fun!,Positive,Gaming Forum,2023-07-12 09:05:59,gamer123,New York,0.88,addict game much fun
The customer service at this hotel was terrible. Avoid at all costs.,Negative,Travel Website,2023-07-12 11:45:27,traveler246,Paris,0.57,customer service hotel terrible avoid cost
This book bored me to tears. I couldn't finish it.,Negative,Goodreads,2023-07-12 14:30:18,bookworm246,San Francisco,0.68,book bore tear could finish
I'm impressed with the sound quality of these headphones. Excellent!,Positive,Online Store,2023-07-12 17:10:36,audiophile789,Berlin,0.92,impress sound quality headphone excellent
The website design is sleek and user-friendly. Easy to navigate.,Positive,Website Testimonial,2023-07-13 08:50:59,testimonialuser2,Sydney,0.87,website design sleek userfriendly easy navigate
I had a terrible experience with their delivery service. Late and unprofessional.,Negative,Online Store,2023-07-13 11:25:27,shopper4567,Chicago,0.64,terrible experience delivery service late unprofessional
The concert was mind-blowing! The band knows how to put on a show.,Positive,Event Review,2023-07-13 14:05:42,musiclover1234,Paris,0.95,concert mindblowing band know put show
I'm extremely disappointed with the customer support. No resolution.,Negative,Online Chat,2023-07-13 16:35:19,user98765,Toronto,0.61,extremely disappoint customer support resolution
The hotel staff were rude and unprofessional. Terrible customer service.,Negative,Hotel Review,2023-07-17 08:50:13,traveler789,Paris,0.55,hotel staff rude unprofessional terrible customer service
The food at this restaurant was mediocre. Nothing special.,Negative,Zomato,2023-07-17 11:32:59,foodlover2468,Mumbai,0.65,food restaurant mediocre nothing special
This song always puts me in a nostalgic mood. It reminds me of good times.,Positive,Spotify,2023-07-17 14:20:05,nostalgiacat123,Berlin,0.88,song always put nostalgic mood remind good time
The website loading speed is frustratingly slow. Needs improvement.,Negative,Website Review,2023-07-17 17:15:22,user12345,Toronto,0.62,website load speed frustratingly slow need improvement
The food at this cafe exceeded my expectations. Absolutely delicious!,Positive,Food Blog,2023-07-13 19:18:53,foodlover246,Mumbai,0.92,food cafe exceed expectation absolutely delicious
I'm disappointed with the ending of this TV show. It left too many unanswered questions.,Negative,TV Show Review,2023-07-14 08:32:41,tvfan123,Los Angeles,0.66,disappoint end show leave many unanswered question
This album is a masterpiece. Every song is a work of art!,Positive,Music Review,2023-07-14 11:05:27,musicenthusiast1,London,0.93,album masterpiece every song work art
The website layout is cluttered and confusing. Difficult to find information.,Negative,Website Review,2023-07-14 14:40:05,user2468,Sydney,0.67,website layout clutter confuse difficult find information
The roller coaster at this theme park is a thrilling experience. A must-try!,Positive,Theme Park Review,2023-07-14 17:25:09,thrillseeker3,Orlando,0.91,roller coaster theme park thrill experience musttry
The product I ordered never arrived. Poor customer service.,Negative,Online Store,2023-07-15 08:50:13,buyer1234,Chicago,0.63,product order never arrive poor customer service
I'm in awe of this artist's talent. Their paintings are breathtaking!,Positive,Art Review,2023-07-15 12:30:08,artlover123,Paris,0.94,awe artist talent painting breathtaking
The food at this restaurant was disappointing. Not worth the price.,Negative,Zomato,2023-07-15 15:45:32,foodcritic246,Mumbai,0.68,food restaurant disappoint worth price
This playlist is perfect for relaxation. Soothing and calming!,Positive,Spotify,2023-07-15 18:20:17,relaxmusiclover,Berlin,0.91,playlist perfect relaxation soothe calm
The website navigation is smooth and intuitive. I found what I needed quickly.,Positive,Website Testimonial,2023-07-15 21:05:44,happyuser123,Toronto,0.88,website navigation smooth intuitive find need quickly
The ride on this cruise ship was an unforgettable experience. I loved every moment!,Positive,Travel Blog,2023-07-16 09:12:54,travelenthusiast2,Sydney,0.95,ride cruise ship unforgettable experience love every moment
The product I received was of poor quality. It broke after a few uses.,Negative,Online Store,2023-07-16 11:45:32,shopper567,Los Angeles,0.61,product receive poor quality break use
This book kept me hooked from start to finish. A captivating read!,Positive,Goodreads,2023-07-16 14:23:18,bookworm7890,London,0.90,book keep hook start finish captivate read
The customer service at this store is outstanding. They truly care about their customers.,Positive,Retail Store,2023-07-16 17:05:46,happyshopper1,New York,0.92,customer service store outstanding truly care customer
I had a frustrating experience with their technical support. No resolution provided.,Negative,Online Helpdesk,2023-07-16 19:40:27,user98765,San Francisco,0.67,frustrate experience technical support resolution provide
The hotel staff were rude and unprofessional. Terrible customer service.,Negative,Hotel Review,2023-07-17 08:50:13,traveler789,Paris,0.55,hotel staff rude unprofessional terrible customer service
The food at this restaurant was mediocre. Nothing special.,Negative,Zomato,2023-07-17 11:32:59,foodlover2468,Mumbai,0.65,food restaurant mediocre nothing special
This song always puts me in a nostalgic mood. It reminds me of good times.,Positive,Spotify,2023-07-17 14:20:05,nostalgiacat123,Berlin,0.88,song always put nostalgic mood remind good time
The website loading speed is frustratingly slow. Needs improvement.,Negative,Website Review,2023-07-17 17:15:22,user12345,Toronto,0.62,website load speed frustratingly slow need improvement
I love this product!,Positive,Twitter,2023-06-15 09:23:14,@user123,New York,0.85,love product
The service was terrible.,Negative,Yelp Reviews,2023-06-15 11:45:32,user456,Los Angeles,0.65,service terrible
This movie is amazing!,Positive,IMDb,2023-06-15 14:10:22,moviefan789,London,0.92,movie amaze
I'm so disappointed with their customer support.,Negative,Online Forum,2023-06-15 17:35:11,forumuser1,Toronto,0.78,disappoint customer support
Just had the best meal of my life!,Positive,TripAdvisor,2023-06-16 08:50:59,foodie22,Paris,0.88,best meal life
The quality of this product is subpar.,Negative,Amazon Reviews,2023-06-16 10:15:27,shopper123,San Francisco,0.72,quality product subpar
I can't stop listening to this song. It's incredible!,Positive,Spotify,2023-06-16 13:40:18,musiclover456,Berlin,0.91,stop listen song incredible
Their website is so user-friendly. Love it!,Positive,Website Testimonial,2023-06-16 16:05:36,testimonialuser1,Sydney,0.87,website userfriendly love
I loved the movie! It was fantastic!,Positive,IMDb,2023-07-02 09:12:34,user123,New York,0.92,love movie fantastic
The customer service was terrible.,Negative,Yelp Reviews,2023-07-02 10:45:21,user456,Los Angeles,0.65,customer service terrible
This book made me feel inspired. Highly recommended!,Positive,Goodreads,2023-07-02 12:34:56,bookworm789,London,0.88,book make feel inspire highly recommend
I'm extremely disappointed with their product quality.,Negative,Online Store,2023-07-02 15:21:43,shopper789,San Francisco,0.72,extremely disappoint product quality
Just had the most amazing vacation! I can't wait to go back.,Positive,TripAdvisor,2023-07-02 18:01:23,travelenthusiast1,Sydney,0.93,amaze vacation wait back
The food at this restaurant was awful. Never going back again!,Negative,Zomato,2023-07-02 20:45:37,foodlover123,Mumbai,0.55,food restaurant awful never go back
I can't stop listening to this song. It's my new favorite!,Positive,Spotify,2023-07-03 09:17:52,musiclover789,Berlin,0.91,stop listen song new favorite
Their website is so confusing and poorly designed.,Negative,Website Review,2023-07-03 11:59:18,user789,Toronto,0.68,website confuse poorly design
I had an incredible experience at the theme park. So much fun!,Positive,Trip Report,2023-07-03 14:40:05,thrillseeker1,Orlando,0.89,incredible experience theme park much fun
